name,price,rating,review_count,product_url,image_url,scraped_at
"Fresh Beet Root, 500g",19,,,https://www.amazon.in/Fresh-Beet-Root-500g-Pack/dp/B07BG7B7QP/ref=sr_1_1_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-1,https://m.media-amazon.com/images/I/71XsyPm+xZL._AC_UL320_.jpg,2025-10-08T19:29:31.682065
"Fresh Beet Root, 250g",12,,,https://www.amazon.in/Fresh-Beet-Root-250g-Pack/dp/B07BG52HD1/ref=sr_1_2_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-2,https://m.media-amazon.com/images/I/710TY8GGGqL._AC_UL320_.jpg,2025-10-08T19:29:31.725555
"Fresh Organic Beet Root, 250g",19,,,https://www.amazon.in/Fresh-Organic-Beet-Root-250g/dp/B07CNDG2Y3/ref=sr_1_3_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-3,https://m.media-amazon.com/images/I/81AMyaOcW3L._AC_UL320_.jpg,2025-10-08T19:29:31.762515
"Rooted Actives PowerBeets - Beet Root Capsules with L-Arginine, 1000mg Serving  101 Beetroot Extract, Helps Support Nitric Oxide Production, Heart Health with Grape Seed Extract (60 Caps)",,4.2,,https://www.amazon.in/Rooted-Actives-Power-Beets-Capsules/dp/B0CYCHGHLD/ref=sr_1_4?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-4,https://m.media-amazon.com/images/I/615IZbUemfL._AC_UL320_.jpg,2025-10-08T19:29:31.783231
"ElectroFizz Freeze Dried Beetroot Powder Nitric Oxide Booster, Superfood for Endurance Building, Vegan, Preservatives Free, Caffeine Free, Pre-workout Supplement- 200 gms (30 plus servings)",,4.5,,https://www.amazon.in/ElectroFizz-Superfood-Preservatives-Pre-workout-Supplement/dp/B09R511HBF/ref=sr_1_5?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-5,https://m.media-amazon.com/images/I/61IMfqDcxqL._AC_UL320_.jpg,2025-10-08T19:29:31.792601
MYHERB 100% Natural Organic Beet Root Powder  227 Gm0.5 Lbs  Super Concentrated  Circulation Superfood  Supports Natural Energy  Stamina  For Men  Women,247,4.2,,https://www.amazon.in/Natural-Beet-Root-Powder-Concentrated/dp/B08MCGW34B/ref=sr_1_6_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-6,https://m.media-amazon.com/images/I/71U9EpwVF7L._AC_UL320_.jpg,2025-10-08T19:29:31.809609
"VEDAHARVEST Beetroot Powder For Face, Skin  Hair  Rich In Antioxidants  Lip Care  Drinking  Eating  Immunity  Pre -Workout  Natural Brightening, Anti-Aging  Glowing Complexion (150 gm)",,4.0,,https://www.amazon.in/VEDAHARVEST-Brightening-Anti-Aging-Complexion-Antioxidants/dp/B0CFL765XB/ref=sr_1_7?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-7,https://m.media-amazon.com/images/I/319S0MKn-rL._AC_UL320_.jpg,2025-10-08T19:29:31.817636
"Nat Habit Lip Balm Fresh Beetroot Crush 10gm Lip Butter With Desi Ghee  Raw Honey For Natural Pink Lips, Nourishment, Dark And Chapped Lips - (Pack of 1)",184,4.0,,https://www.amazon.in/Nat-Habit-Beetroot-Natural-Nourishment/dp/B0C8CZT23V/ref=sr_1_8_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-8,https://m.media-amazon.com/images/I/71bd1QmHT6L._AC_UL320_.jpg,2025-10-08T19:29:31.846944
Mamaearth Beetroot Daily Glow Face Cream With Beetroot  Hyaluronic Acid - 80gGives Hydrated Pink Glow Gives Instant Brightening Effect Lightweight  Non-Greasy Natural Glow For All Skin Types,182,3.9,,https://www.amazon.in/Mamaearth-Beetroot-Daily-Cream-Hyaluronic/dp/B0CZXQQS1C/ref=sr_1_9_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-9,https://m.media-amazon.com/images/I/51f3ltjbaML._AC_UL320_.jpg,2025-10-08T19:29:31.876352
"TBH - To Be Honest Vegetable ChipsGolden Sweet Potato, Crispy BeetrootRipe JackfruitGluten FreeVegan Friendly SnackLow Fat50% Less OilNo Preservatives-Pack Of 3-(35 Gm X 2, 25 Gm)",160,3.2,,https://www.amazon.in/TBH-Vegetable-Beetroot-Jackfruit-Preservatives/dp/B0CMDD76Y4/ref=sr_1_10_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-10,https://m.media-amazon.com/images/I/61P9g61eNSL._AC_UL320_.jpg,2025-10-08T19:29:31.902988
"OurHerb Nature Beetroot Powder for Face Pack, Skin  Hair  Lip  Skin Care  Natural, Additive-Free  Rich in Antioxidants  Includes Wooden Spoon - 100g  3.5 Oz",,4.2,,https://www.amazon.in/Ourherb-Natural-Beetroot-Powder-Wooden/dp/B09YQFYLMH/ref=sr_1_11?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-11,https://m.media-amazon.com/images/I/61Y8UwNF37L._AC_UL320_.jpg,2025-10-08T19:29:31.908942
"Healthy Master Beetroot Chips 200g  Light  Crispy Chips, high protein  Natural ingredients, Vegan, Gluten Free, No Palm Oil, No Artificial Preservatives, Trans Fat Free, Low Calorie",,4.3,,https://www.amazon.in/Healthy-Beetroot-ingredients-Artificial-Preservatives/dp/B0B71N6BSJ/ref=sr_1_12?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-12,https://m.media-amazon.com/images/I/81DDM+1aj2L._AC_UL320_.jpg,2025-10-08T19:29:31.912263
