name,price,rating,review_count,product_url,image_url,scraped_at
"Neutra Leaf Organic Beetroot Powder 200g  For Shiny Skin, Face Glow, Hair Growth  Lips  Natural Energy Pre workout  Improve Heart Health  100% Pure  Preservative-Free  For Men  Women  Apply, Drinking, Eating",,3.8,,https://www.amazon.in/Neutra-Leaf-Beetroot-Digestion-Management/dp/B0BPXT9FYL/ref=sr_1_13?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-13,https://m.media-amazon.com/images/I/51H8ernAgjL._AC_UL320_.jpg,2025-10-08T19:29:31.929885
"Better Alt Beetroot Powder 450 g (112 Servings), Beetroot for Face  Hair Nitric Oxide BoosterBeets Powder Supplement  Pre Workout Supplement",450,3.7,,https://www.amazon.in/Servings-Powdered-Superfood-Supplement-Beetroot/dp/B09J26WBTG/ref=sr_1_14_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-14,https://m.media-amazon.com/images/I/51XWSWKXnpL._AC_UL320_.jpg,2025-10-08T19:29:31.948496
"Sparkfusion Pure Beet Root Powder  Organic Natural Pre-Workout for Smoothie  Energy Boost  Vegan, Gluten-Free, Beet Root Supplement  for Men  Women (100 g (Pack of 1))",199,4.8,,https://www.amazon.in/Sparkfusion-Beet-Root-Powder-Pre-Workout/dp/B0F88FFXBB/ref=sr_1_15_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-15,https://m.media-amazon.com/images/I/71r0bvKP78L._AC_UL320_.jpg,2025-10-08T19:29:31.969806
"Herb Essential 100% Natural Beetroot Powder  100g  Hydrates  Nourishes Skin  Hair  Rich in Antioxidants  Chemical-Free, Vegan  Cruelty-Free",,4.1,,https://www.amazon.in/Beetroot-Powder-Natural-Hydrates-Nourishes/dp/B0BNXJZF6G/ref=sr_1_16?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-16,https://m.media-amazon.com/images/I/71BegXJhTVL._AC_UL320_.jpg,2025-10-08T19:29:31.983683
Mamaearth Beetroot Gentle Face WashHyaluronic Acid For Hydrated Pink Glow -100MlGently CleansesHydratesSoothes SkinSoap - FreeNon-IrritantSafe For SkinHydrating Gentle Face WashNon-Drying,,4.1,,https://www.amazon.in/Mamaearth-Beetroot-Hyaluronic-Hydrated-Cleanses/dp/B0CS6VQCXT/ref=sr_1_17?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-17,https://m.media-amazon.com/images/I/71Za0L08ykL._AC_UL320_.jpg,2025-10-08T19:29:31.997828
"Slurrp Farm Millet Dosa Instant Mix  Supergrains And Beetroot  Natural And Healthy Food, 150Gm",119,4.2,,https://www.amazon.in/Slurrp-Farm-Instant-Supergrains-Beetroot/dp/B075QLPHVT/ref=sr_1_18_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-18,https://m.media-amazon.com/images/I/71-NnmBIJHL._AC_UL320_.jpg,2025-10-08T19:29:32.014302
"Khari Foods Beetroot Crispies, Peri Peri Flavoured Chips, No Palm Oil, No Maida, Millet Goodness, Fibre Rich, Zero Cholestrol, Gluten Free Vegan, Healthy Snacks (50g x 4 Combo)",180,4.1,,https://www.amazon.in/Khari-Foods-Beetroot-Flavoured-Cholestrol/dp/B0D87PXCRT/ref=sr_1_19_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-19,https://m.media-amazon.com/images/I/71+ZJuDoavL._AC_UL320_.jpg,2025-10-08T19:29:32.039101
"Nourish Mantra Beetroot Blast Lip Balm with SPFFormulated with Beetroot Extracts, Olive Oil, Shea Butter, Vitamin E, and Avocado OilBest for both women and men 12gms",,4.1,,https://www.amazon.in/Nourish-Beetroot-Formulated-Extracts-Vitamin/dp/B0BVMJGW4G/ref=sr_1_20?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-20,https://m.media-amazon.com/images/I/71f8qIQcZdL._AC_UL320_.jpg,2025-10-08T19:29:32.049602
Mamaearth Beetroot Tinted 100% Natural Lip Balm with Beetroot  Beeswax - 2 g   12 Hr Moisturization  For Dry  Chapped Lips  Natural Pink Tint  Brightens Lips,,4.0,,https://www.amazon.in/Mamaearth-Beetroot-Tinted-Natural-Beeswax/dp/B0CHMGVSB2/ref=sr_1_21?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-21,https://m.media-amazon.com/images/I/41r5ElSZGsL._AC_UL320_.jpg,2025-10-08T19:29:32.056596
Mamaearth Beetroot Hydraful Essence Serum - 50 ml For Hydrated Pink Glow with Beetroot  1% Hyaluronic Acid Complex Face Serum  Upto 92% Instant Hydration  For Daily Smooth,,4.1,,https://www.amazon.in/Mamaearth-Beetroot-Hydraful-Essence-Serum/dp/B0CXXXVZFT/ref=sr_1_22?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-22,https://m.media-amazon.com/images/I/51i5Z5P-T+L._AC_UL320_.jpg,2025-10-08T19:29:32.063015
"Mamaearth Beetroot Hydraful Sunscreen With Hyaluronic Acid  SPF 50  PA  UVA  B Protection  Tan Protection  Hydrates Skin  No white cast  For Oily, Combination  Dry Skin  50 g",,3.9,,https://www.amazon.in/Mamaearth-Beetroot-Hydraful-Sunscreen-Hyaluronic/dp/B0CXXVN83H/ref=sr_1_23?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-23,https://m.media-amazon.com/images/I/71pJgZzIN9L._AC_UL320_.jpg,2025-10-08T19:29:32.068151
PETOSKA Beetroot Chicken Sticks- 100gms  Crunchy Dog Treats  Made with Fresh Chicken  Highly Nutritious  Easy to Digest  Supports Eye Health  Suitable for All Dog Breeds  Pack of 1,142,4.4,,https://www.amazon.in/PETOSKA-Beetroot-Nutritious-Supports-Suitable/dp/B0DLWT2XCT/ref=sr_1_24_f3_wg?almBrandId=ctnow&dib=eyJ2IjoiMSJ9.O3BEql8jkj_DQivEy_4vCiHT23KGiSmBeFLUO8fNYlew-CpHTqE6oQ_hnBzX-C3jdV3N16SXxqfQFhyIxZP4Z-dcMeqtoJcLY9OidkNLtZaLmrotCko9cj8xddyWEwj5SUioBeFC9wUXQtjClfx1XwbhtJRxQL6fLmTsQVBREOgsPiN3T781JyfOITgwNMF_IQtV8V4HmEUkKlgQWdK-UY-NaB6zcQk2RFeF7r1BOeqiXkvYR1hL_EpNkrbevYnY5mf0nHdfB_5wuVQ__rSEVPxK8N0F4X3Xyj74MfPVmXY.zxnX4Dpa0gSv_W4XP2kVrBytZ7QoPAPt2NjnCIHV_Gg&dib_tag=se&fpw=alm&keywords=beetroot&qid=1759931970&s=nowstore&sr=1-24,https://m.media-amazon.com/images/I/71AnZAzhy6L._AC_UL320_.jpg,2025-10-08T19:29:32.076010
